Alexei	m	0
Alexeï	m	0
Alexi	m	0
Alexia	f	0
Alexia-Marie	f	0
Alexiane	f	0
Alexianne	f	0
Alexie	f	0
Alexie-Anne	f	0
Alexin	m	0
Alexina	f	0
Alexine	f	0
Alexsandro	m	0
Alexya	f	0
Alexyne	f	0
Aleyna	f	0
Alfio	m	0
Alfred	m	0
Alfredine	f	0
Alfredo	m	0
Alfrèda	f	0
Algernon	m	0
Algimante	f	0
Alhassan	m	0
Alhassane	m	0
Ali	m	0
Aliana	f	0
Alianor	f	0
Alianore	f	0
Alice	f	0
Alice-Anne	f	0
Alice-Marie	f	0
Alicette	f	0
Alicia	f	0
Aliciane	f	0
Alicianne	f	0
Alick	m	0
Alida	f	0
Aliette	f	0
Alijah	f	0
Alijan	m	0
Alijana	f	0
Alije	f	0
Alima	f	0
Alina	f	0
Aline	f	0
Aline-Marie	f	0
Aliou	m	0
Aliptien	m	0
Alisonne	f	0
Alissandre	f	0
Alissende	f	0
Alissia	f	0
Alisson	f	0
Alissone	f	0
Alissonne	f	0
Alistair	m	0
Alistaire	m	0
Alister	m	0
Aliséa	f	0
Alisée	f	0
Alix-Anne	f	0
Alix-Marie	f	0
Alixan	m	0
Alixane	f	0
Alixanne	f	0
Alixe	f	0
Alixia	f	0
Alixiane	f	0
Alixianne	f	0
Aliya	f	0
Aliyah	f	0
Aliyana	f	0
Alizé	f	1
Alizéa	f	0
Alizée	f	0
Aliénor	f	0
Aliénore	f	0
Aljije	f	0
Alla	f	0
Allan	m	0
Allessandra	f	0
Allie	f	0
Allis	m	0
Allison	f	0
Allissia	f	0
Allisson	f	0
Allistair	m	0
Allisyn	f	0
Ally	f	0
Allyana	f	0
Allyn	f	0
Allyson	f	0
Allysson	f	0
Allégra	f	0
Almaric	m	0
Almer	m	0
Almire	m	0
Alojzij	m	0
Alojzija	f	0
Alon	m	0
Alona	f	0
Aloys	m	0
Aloysa	f	0
Aloyse	f	0
Aloysia	f	0
Aloïse	f	0
Aloïsse	f	0
Alphonse	m	0
Alphonsine	f	0
Altero	m	0
Althea	f	0
Aluki	m	0
Alun	m	0
Alvana	f	0
Alvane	m	0
Alvanna	f	0
Alvanne	m	0
Alvare	m	0
Alvaro	m	0
Alvina	f	0
Alvère	f	0
Alwena	f	0
Alya	f	0
Alyah	f	0
Alyana	f	0
Alyanah	f	0
Alyanna	f	0
Alyce	f	0
Alycia	f	0
Alys	f	0
Alys-Anne	f	0
Alyson	f	0
Alyson-Marie	f	0
Alysone	f	0
Alyssa	f	0
Alyssa-Marie	f	0
Alyssandre	f	0
Alyssia	f	0
Alysson	f	1
Alyssone	f	0
Alysé	f	0
Alyséa	f	0
Alysée	f	0
Alyzé	f	0
Alyzéa	f	0
Alyzée	f	0
Alèthe	f	0
Aléandra	f	0
Aléanor	f	0
Aléanore	f	0
Aléonor	f	0
Amaani	f	0
Amace	m	0
Amadou	m	0
Amadour	m	0
Amadéa	f	0
Amale	f	0
Amalia	f	0
Amalie	f	0
Amalija	f	0
Amalric	m	0
Amalya	f	0
Amance	m	0
Amand	m	0
Amanda	f	0
Amanda-Marie	f	0
Amandaline	f	0
Amandalyne	f	0
Amande	f	0
Amandine	f	0
Amandio	m	0
Amandyne	f	0
Amane	f	0
Amans	m	0
Amant	m	0
Amante	f	0
Amanthe	f	0
Amantine	f	0
Amany	f	0
Amarande	f	0
Amarande-Julie	f	0
Amaria	f	0
Amaris	f	0
Amaro	m	0
Amaryllis	f	0
Amat	m	0
Amaury	m	0
Amazonie	f	0
Amaël	m	0
Amaëlle	f	0
Amber	f	0
Ambre-Marie	f	0
Ambrine	f	0
Ambroise	m	0
Ambroisine	f	0
Amedy	m	0
Amel	f	0
Amelija	f	0
Ameline	f	0
Amelka	f	0
Amelle	f	0
Amellia	f	0
Amellya	f	0
Amely	f	0
Amelya	f	0
Amerigo	m	0
Amicia	f	0
Amicie	f	0
Amie	f	0
Amijai	m	0
Amila	f	0
Amiliana	f	0
Amin	m	0
Amina	f	0
Aminata	f	0
Amine	m	1
Amir	m	0
Ammar	m	0
Amos	m	0
Amun	m	0
Amédée	m	0
Amélia	f	0
